id,platform_id,text,platform,created_at,location,label,polarity,confidence,model_used
66,seed_twitter_65_1773941082,bug charged me twice this month and I can't reach anyone. Do better.,twitter,2026-03-19 17:24:42.576367+00,"New York, US",negative,-0.3561,0.9791,textblob
67,seed_youtube_66_1773395660,Reviewing the kubernetes changelog for the latest release.,youtube,2026-03-13 09:54:20.198186+00,"Berlin, DE",neutral,0.0967,0.6061,textblob
68,seed_twitter_67_1774036951,Attended the subscription webinar. Informative overview of the roadmap.,twitter,2026-03-20 20:02:31.303828+00,"Singapore, SG",neutral,-0.1251,0.8392,ensemble
69,seed_youtube_68_1775557402,Super happy with our decision to move to model. Zero regrets.,youtube,2026-04-07 10:23:22.626948+00,"Tokyo, JP",positive,0.7999,0.7656,bert
70,seed_youtube_69_1774207596,"bug has gone downhill fast. It used to be great, now it's a buggy mess.",youtube,2026-03-22 19:26:36.023835+00,"Bangalore, IN",negative,-0.548,0.9509,ensemble
71,seed_youtube_70_1775961892,The price demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-04-12 02:44:52.502925+00,"Tokyo, JP",positive,0.3942,0.7957,bert
72,seed_youtube_71_1775279287,Huge shoutout to the plan team – your product is flawless ⭐⭐⭐⭐⭐,youtube,2026-04-04 05:08:07.205966+00,"Berlin, DE",positive,0.2705,0.9699,bert
73,seed_twitter_72_1775497824,New fix blog post is out. Covers migration steps.,twitter,2026-04-06 17:50:24.806143+00,,neutral,-0.1172,0.711,textblob
74,seed_twitter_73_1775359887,The plan demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-04-05 03:31:27.597171+00,,positive,0.4689,0.7409,bert
75,seed_youtube_74_1774190465,"refund has gone downhill fast. It used to be great, now it's a buggy mess.",youtube,2026-03-22 14:41:05.832193+00,"Amsterdam, NL",negative,-0.8672,0.8293,textblob
76,seed_twitter_75_1775610448,Finally a server solution that actually works – saving me hours every day 🎉,twitter,2026-04-08 01:07:28.691907+00,"London, UK",positive,0.4453,0.7709,bert
77,seed_twitter_76_1773519493,"Seriously impressed with model. The UX is clean, fast, and just works.",twitter,2026-03-14 20:18:13.740727+00,"London, UK",positive,0.2541,0.9163,bert
78,seed_twitter_77_1775120014,Submitted 5 ticket tickets this week. Not a single response.,twitter,2026-04-02 08:53:34.543919+00,"Sydney, AU",negative,-0.8378,0.955,textblob
79,seed_youtube_78_1774653632,The security demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-03-27 23:20:32.147793+00,"San Francisco, US",positive,0.4377,0.9804,bert
80,seed_twitter_79_1775003879,Cancelled my firewall subscription. The quality has dropped so much.,twitter,2026-04-01 00:37:59.324787+00,"Toronto, CA",negative,-0.4266,0.9733,bert
81,seed_youtube_80_1774318718,Finally a cloud solution that actually works – saving me hours every day 🎉,youtube,2026-03-24 02:18:38.385637+00,"Toronto, CA",positive,0.5106,0.8362,bert
82,seed_twitter_81_1774450394,Our team had a expensive eval call today. Still deciding.,twitter,2026-03-25 14:53:14.508972+00,"Sydney, AU",neutral,0.0155,0.5701,bert
83,seed_youtube_82_1775693781,Just tried neural and wow – completely changed my workflow. Would highly recommend!,youtube,2026-04-09 00:16:21.981162+00,"Bangalore, IN",positive,0.6403,0.7564,bert
84,seed_youtube_83_1775126894,The firewall conference keynote starts in 2 hours. Curious what they'll announce.,youtube,2026-04-02 10:48:14.666417+00,"San Francisco, US",neutral,0.1488,0.5832,ensemble
85,seed_twitter_84_1773437944,Reviewing the fix changelog for the latest release.,twitter,2026-03-13 21:39:04.954891+00,"Paris, FR",neutral,0.1345,0.6283,ensemble
86,seed_youtube_85_1775771388,Been waiting 3 days for hack support to reply. Absolutely terrible service 😡,youtube,2026-04-09 21:49:48.751798+00,"Toronto, CA",negative,-0.3685,0.7684,bert
87,seed_youtube_86_1773524372,Finally a ml solution that actually works – saving me hours every day 🎉,youtube,2026-03-14 21:39:32.180682+00,"Singapore, SG",positive,0.321,0.9163,bert
88,seed_twitter_87_1773895776,Our team's productivity shot up 40% after adopting aws. Game changer! 💡,twitter,2026-03-19 04:49:36.911545+00,"New York, US",positive,0.8873,0.826,textblob
89,seed_twitter_88_1775307846,New fix blog post is out. Covers migration steps.,twitter,2026-04-04 13:04:06.725574+00,"Mumbai, IN",neutral,0.1384,0.6953,textblob
90,seed_youtube_89_1775651162,Just tried security and wow – completely changed my workflow. Would highly recommend!,youtube,2026-04-08 12:26:02.902201+00,"Mumbai, IN",positive,0.6298,0.8845,bert
91,seed_youtube_90_1774047227,The new refund platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-03-20 22:53:47.076756+00,"Paris, FR",positive,0.5651,0.897,textblob
92,seed_youtube_91_1774943313,New aws blog post is out. Covers migration steps.,youtube,2026-03-31 07:48:33.58921+00,"New York, US",neutral,-0.0218,0.6309,textblob
93,seed_youtube_92_1774740303,Super happy with our decision to move to azure. Zero regrets.,youtube,2026-03-28 23:25:03.796729+00,"Mumbai, IN",positive,0.3171,0.9282,ensemble
94,seed_twitter_93_1775302315,cheap charged me twice this month and I can't reach anyone. Do better.,twitter,2026-04-04 11:31:55.492471+00,,negative,-0.8073,0.9121,bert
95,seed_youtube_94_1773549195,Just installed the new llm version. Will test it over the next few days.,youtube,2026-03-15 04:33:15.236639+00,"London, UK",neutral,-0.0806,0.5753,bert
96,seed_youtube_95_1773473364,Comparing cloud vs alternatives. Both seem to have trade-offs.,youtube,2026-03-14 07:29:24.239118+00,"Mumbai, IN",neutral,0.0877,0.6591,bert
97,seed_twitter_96_1775190345,Setting up a price demo environment. First impressions later.,twitter,2026-04-03 04:25:45.119093+00,"Tokyo, JP",neutral,0.0564,0.625,textblob
98,seed_youtube_97_1775914665,Submitted 5 deploy tickets this week. Not a single response.,youtube,2026-04-11 13:37:45.713123+00,"Mumbai, IN",negative,-0.3716,0.7414,textblob
99,seed_youtube_98_1774881391,Comparing bug vs alternatives. Both seem to have trade-offs.,youtube,2026-03-30 14:36:31.664841+00,"Berlin, DE",neutral,-0.136,0.7505,ensemble
100,seed_twitter_99_1775487957,This security outage has cost us thousands. Where is the status page??,twitter,2026-04-06 15:05:57.285015+00,"Berlin, DE",negative,-0.462,0.7754,bert
101,seed_twitter_100_1774240945,Reviewing the cost changelog for the latest release.,twitter,2026-03-23 04:42:25.412408+00,"New York, US",neutral,0.1373,0.6441,textblob
102,seed_youtube_101_1775043081,Why is kubernetes so expensive now?! The new pricing is outrageous.,youtube,2026-04-01 11:31:21.317684+00,"San Francisco, US",negative,-0.5642,0.8758,bert
103,seed_youtube_102_1774557038,The new plan platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-03-26 20:30:38.63537+00,,positive,0.5917,0.7662,textblob
104,seed_youtube_103_1774705208,"Seriously impressed with llm. The UX is clean, fast, and just works.",youtube,2026-03-28 13:40:08.63631+00,"Amsterdam, NL",positive,0.4572,0.9051,ensemble
105,seed_youtube_104_1774686314,Our team had a docker eval call today. Still deciding.,youtube,2026-03-28 08:25:14.288274+00,"Berlin, DE",neutral,0.0649,0.7878,bert
106,seed_youtube_105_1775521800,Reading the server docs. Seems fairly comprehensive so far.,youtube,2026-04-07 00:30:00.843361+00,"London, UK",neutral,-0.1275,0.5711,textblob
107,seed_twitter_106_1774622948,Submitted 5 threat tickets this week. Not a single response.,twitter,2026-03-27 14:49:08.826003+00,"Bangalore, IN",negative,-0.7468,0.8146,bert
108,seed_twitter_107_1773776534,The new gpt platform is absolutely incredible! Best launch I've seen this year 🚀,twitter,2026-03-17 19:42:14.749629+00,"Mumbai, IN",positive,0.5442,0.811,textblob
109,seed_youtube_108_1775512316,Huge shoutout to the encrypt team – your product is flawless ⭐⭐⭐⭐⭐,youtube,2026-04-06 21:51:56.127252+00,,positive,0.7196,0.9588,textblob
110,seed_youtube_109_1774695920,The neural demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-03-28 11:05:20.785809+00,"Toronto, CA",positive,0.633,0.7549,bert
111,seed_youtube_110_1775096122,expensive charged me twice this month and I can't reach anyone. Do better.,youtube,2026-04-02 02:15:22.9457+00,"Singapore, SG",negative,-0.3435,0.9184,bert
112,seed_twitter_111_1775362176,Just tried support and wow – completely changed my workflow. Would highly recommend!,twitter,2026-04-05 04:09:36.852437+00,"Berlin, DE",positive,0.6067,0.845,bert
113,seed_twitter_112_1775670726,Anyone here using subscription for production workloads? Looking for feedback.,twitter,2026-04-08 17:52:06.161374+00,"Singapore, SG",neutral,0.1287,0.8185,textblob
114,seed_twitter_113_1775979882,Blown away by how fast and reliable the new breach update is. 10/10!,twitter,2026-04-12 07:44:42.032847+00,"Berlin, DE",positive,0.5419,0.7395,bert
115,seed_youtube_114_1775977500,The hack platform keeps crashing. Switching to a competitor ASAP.,youtube,2026-04-12 07:05:00.909756+00,"London, UK",negative,-0.8646,0.9845,bert
116,seed_twitter_115_1775430454,Finally a deploy solution that actually works – saving me hours every day 🎉,twitter,2026-04-05 23:07:34.471965+00,"Mumbai, IN",positive,0.8844,0.9292,ensemble
117,seed_youtube_116_1775408524,"Seriously impressed with docker. The UX is clean, fast, and just works.",youtube,2026-04-05 17:02:04.682913+00,"Amsterdam, NL",positive,0.3458,0.8997,textblob
118,seed_youtube_117_1775382692,Blown away by how fast and reliable the new cloud update is. 10/10!,youtube,2026-04-05 09:51:32.674509+00,"Paris, FR",positive,0.7992,0.9701,bert
119,seed_youtube_118_1774871711,Blown away by how fast and reliable the new ai update is. 10/10!,youtube,2026-03-30 11:55:11.552822+00,"Bangalore, IN",positive,0.3729,0.8444,ensemble
120,seed_twitter_119_1775345956,Just installed the new neural version. Will test it over the next few days.,twitter,2026-04-04 23:39:16.437565+00,"New York, US",neutral,0.1078,0.7121,textblob
121,seed_youtube_120_1774786436,The encrypt demo blew my mind. Rolling this out company-wide ASAP.,youtube,2026-03-29 12:13:56.006752+00,"Berlin, DE",positive,0.5189,0.8795,bert
122,seed_youtube_121_1774592802,Our team's productivity shot up 40% after adopting support. Game changer! 💡,youtube,2026-03-27 06:26:42.038807+00,,positive,0.5972,0.725,ensemble
123,seed_twitter_122_1774699559,Been waiting 3 days for cloud support to reply. Absolutely terrible service 😡,twitter,2026-03-28 12:05:59.863871+00,"Toronto, CA",negative,-0.7324,0.7818,bert
124,seed_youtube_123_1774725500,Comparing kubernetes vs alternatives. Both seem to have trade-offs.,youtube,2026-03-28 19:18:20.7297+00,"Singapore, SG",neutral,0.1467,0.5562,ensemble
125,seed_youtube_124_1774881998,The hack UI is confusing and unintuitive. Needs a complete redesign.,youtube,2026-03-30 14:46:38.524411+00,"Paris, FR",negative,-0.3477,0.9083,bert
126,seed_twitter_125_1773952079,"broken has gone downhill fast. It used to be great, now it's a buggy mess.",twitter,2026-03-19 20:27:59.999522+00,"Bangalore, IN",negative,-0.7185,0.7385,ensemble
127,seed_youtube_126_1774986757,Reading the subscription docs. Seems fairly comprehensive so far.,youtube,2026-03-31 19:52:37.724744+00,"Toronto, CA",neutral,-0.0375,0.622,ensemble
128,seed_twitter_127_1774615843,value charged me twice this month and I can't reach anyone. Do better.,twitter,2026-03-27 12:50:43.479581+00,"Toronto, CA",negative,-0.8519,0.8448,textblob
129,seed_twitter_128_1774261543,Our team had a threat eval call today. Still deciding.,twitter,2026-03-23 10:25:43.456553+00,"Tokyo, JP",neutral,-0.0724,0.6581,ensemble
130,seed_youtube_129_1774144374,The new deep learning platform is absolutely incredible! Best launch I've seen this year 🚀,youtube,2026-03-22 01:52:54.86038+00,"Toronto, CA",positive,0.3042,0.8006,ensemble
131,seed_twitter_130_1774047627,The broken demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-03-20 23:00:27.486618+00,,positive,0.7612,0.8134,bert
132,seed_twitter_131_1775621266,Submitted 5 broken tickets this week. Not a single response.,twitter,2026-04-08 04:07:46.34448+00,"New York, US",negative,-0.3801,0.7048,ensemble
133,seed_twitter_132_1775600971,"Seriously impressed with vulnerability. The UX is clean, fast, and just works.",twitter,2026-04-07 22:29:31.66131+00,"New York, US",positive,0.4721,0.7394,bert
134,seed_youtube_133_1775262656,Our team's productivity shot up 40% after adopting threat. Game changer! 💡,youtube,2026-04-04 00:30:56.44365+00,"Bangalore, IN",positive,0.454,0.8633,bert
135,seed_twitter_134_1775360396,This threat outage has cost us thousands. Where is the status page??,twitter,2026-04-05 03:39:56.518016+00,"Berlin, DE",negative,-0.364,0.9533,bert
136,seed_youtube_135_1774288785,Why is docker so expensive now?! The new pricing is outrageous.,youtube,2026-03-23 17:59:45.458102+00,"New York, US",negative,-0.6735,0.9068,bert
137,seed_youtube_136_1775261632,Comparing expensive vs alternatives. Both seem to have trade-offs.,youtube,2026-04-04 00:13:52.907649+00,"Paris, FR",neutral,0.0872,0.5596,ensemble
138,seed_youtube_137_1774820821,Been waiting 3 days for ml support to reply. Absolutely terrible service 😡,youtube,2026-03-29 21:47:01.414197+00,"Tokyo, JP",negative,-0.7352,0.797,textblob
139,seed_youtube_138_1774589572,The ml platform keeps crashing. Switching to a competitor ASAP.,youtube,2026-03-27 05:32:52.790107+00,,negative,-0.7375,0.8274,ensemble
140,seed_twitter_139_1774934853,This kubernetes outage has cost us thousands. Where is the status page??,twitter,2026-03-31 05:27:33.78093+00,,negative,-0.7748,0.7876,textblob
141,seed_twitter_140_1773866850,The plan demo blew my mind. Rolling this out company-wide ASAP.,twitter,2026-03-18 20:47:30.230082+00,"Mumbai, IN",positive,0.4938,0.9174,bert
142,seed_twitter_141_1774311308,Reviewing the issue changelog for the latest release.,twitter,2026-03-24 00:15:08.996088+00,"Amsterdam, NL",neutral,-0.0669,0.7189,ensemble
143,seed_twitter_142_1773811798,Our team's productivity shot up 40% after adopting firewall. Game changer! 💡,twitter,2026-03-18 05:29:58.698197+00,"London, UK",positive,0.3725,0.9602,textblob
144,seed_youtube_143_1774838859,"cost has gone downhill fast. It used to be great, now it's a buggy mess.",youtube,2026-03-30 02:47:39.610883+00,"London, UK",negative,-0.8051,0.9498,ensemble
145,seed_youtube_144_1775753011,Been waiting 3 days for help support to reply. Absolutely terrible service 😡,youtube,2026-04-09 16:43:31.514253+00,"Tokyo, JP",negative,-0.7605,0.9807,textblob
146,seed_twitter_145_1775459018,support support team resolved my issue in under 10 min. Stellar experience!,twitter,2026-04-06 07:03:38.55684+00,"Bangalore, IN",positive,0.4953,0.9432,textblob
147,seed_youtube_146_1774025823,Finally a server solution that actually works – saving me hours every day 🎉,youtube,2026-03-20 16:57:03.501684+00,"Bangalore, IN",positive,0.9242,0.8584,textblob
148,seed_youtube_147_1773812847,Submitted 5 hack tickets this week. Not a single response.,youtube,2026-03-18 05:47:27.986403+00,,negative,-0.8894,0.7969,ensemble
149,seed_youtube_148_1774048554,The latest gpt update broke my entire pipeline. Unacceptable!,youtube,2026-03-20 23:15:54.762604+00,"Tokyo, JP",negative,-0.8152,0.7544,textblob
150,seed_youtube_149_1774356411,Finally a bug solution that actually works – saving me hours every day 🎉,youtube,2026-03-24 12:46:51.636111+00,"Amsterdam, NL",positive,0.7887,0.7322,ensemble
151,seed_youtube_150_1775425091,Reviewing the deploy changelog for the latest release.,youtube,2026-04-05 21:38:11.443852+00,"Toronto, CA",neutral,-0.0535,0.5733,textblob
152,seed_youtube_151_1775502017,Why is data so expensive now?! The new pricing is outrageous.,youtube,2026-04-06 19:00:17.945386+00,"San Francisco, US",negative,-0.6876,0.7271,textblob
153,seed_twitter_152_1774244761,Blown away by how fast and reliable the new threat update is. 10/10!,twitter,2026-03-23 05:46:01.22254+00,"Sydney, AU",positive,0.369,0.7512,ensemble
154,seed_twitter_153_1774576931,This data outage has cost us thousands. Where is the status page??,twitter,2026-03-27 02:02:11.234368+00,"San Francisco, US",negative,-0.855,0.8528,bert
155,seed_twitter_154_1774568967,Submitted 5 deep learning tickets this week. Not a single response.,twitter,2026-03-26 23:49:27.463633+00,"Singapore, SG",negative,-0.8558,0.9764,textblob
156,seed_twitter_155_1775134493,Been waiting 3 days for llm support to reply. Absolutely terrible service 😡,twitter,2026-04-02 12:54:53.252666+00,"Tokyo, JP",negative,-0.6381,0.95,bert
157,seed_youtube_156_1773672415,Reviewing the ticket changelog for the latest release.,youtube,2026-03-16 14:46:55.885867+00,"Singapore, SG",neutral,-0.0554,0.5894,textblob
